iso3,food_serving,personal_care,arts_media,sales,transport,office_admin,tour_soc_mean,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct
ISR,0.46,1.15,11.45,8.05,0.3,8.19,0.8049999999999999,2.75,12.95,0.71,8.78,6.63,5.63,0.04,0.52,1.86,3.96,2.08,0.96,3.23,14.7,1.9,4.27,16.24,0.33,0.63,0.99,1.97,1.18,0.72,7.54,0.25,4.23,2.15,0.67,0.89,3.94,0.54,1.29,0.86,0.31,48.06,51.94,31.38,19.02,14.98,2.96,29.01,2.65,12.14,84.51,4.5,38.02,20.16,0.43,3.05,9.42,37.26,53.32
ITA,0.54,1.14,14.6,9.28,0.31,7.72,0.84,2.71,12.87,1.43,10.36,5.78,3.54,0.03,0.58,1.93,3.66,1.65,1.55,2.8,14.59,2.72,4.53,18.81,0.4,0.6,0.84,2.67,1.45,0.43,5.95,0.17,3.61,2.22,0.85,1.04,3.29,0.37,1.31,0.61,0.23,53.64,46.36,28.32,16.96,17.68,2.33,31.27,3.44,11.93,87.85,4.51,41.18,21.22,1.5,1.7,16.19,40.93,42.89
JAM,,,15.27,7.26,,7.94,,2.82,12.26,0.3,10.01,4.25,5.23,0.08,0.68,0.91,4.09,1.36,1.9,2.81,18.42,5.38,4.62,13.19,0.61,0.76,1.44,2.65,2.2,0.15,5.53,0.08,3.03,2.65,0.38,2.05,3.26,0.61,0.3,0.83,0.23,50.51,49.49,32.49,15.87,13.65,2.29,33.33,2.36,11.33,85.2,5.72,44.13,28.35,0.03,0.66,18.73,37.98,43.29
JOR,,1.47,11.37,8.04,,7.48,1.47,2.73,12.54,1.49,8.33,4.31,5.86,0.0,0.22,2.19,4.96,1.49,1.05,2.14,13.84,4.42,2.6,19.48,0.5,0.35,1.2,1.68,1.62,0.83,5.81,0.2,3.93,3.13,0.59,1.31,3.54,0.48,1.31,0.9,0.26,51.07,48.93,30.71,16.79,18.27,2.9,27.86,3.47,11.42,82.14,5.02,35.74,18.43,0.11,0.64,30.02,32.88,37.1
JPN,0.58,1.17,14.7,8.97,0.43,8.46,0.875,2.72,12.88,0.46,10.44,8.15,3.4,0.04,1.69,1.82,2.42,1.14,2.29,3.73,13.91,1.02,4.42,19.21,0.32,0.79,0.63,2.69,0.85,0.35,6.49,0.24,4.36,2.63,0.42,1.19,2.72,0.18,1.27,0.57,0.14,52.55,47.45,28.81,17.1,18.56,3.25,28.07,4.22,12.49,86.22,4.22,45.65,21.71,3.28,1.91,5.85,47.15,47.0
KAZ,0.48,1.54,15.23,8.54,0.23,6.99,1.01,2.7,11.89,1.93,10.38,4.27,4.73,0.08,0.31,1.99,2.69,1.61,2.16,2.36,13.94,4.01,2.28,18.69,0.74,0.59,0.8,2.52,2.24,0.84,6.47,0.27,3.6,2.6,0.55,0.65,2.87,0.65,1.7,0.81,0.67,50.74,49.26,31.09,16.43,16.89,3.55,28.95,3.09,10.75,86.36,4.42,36.87,21.66,0.21,0.71,23.06,40.57,36.37
KEN,0.33,1.27,15.44,7.02,0.23,8.41,0.8,2.87,12.67,1.57,6.77,3.5,7.34,0.01,0.76,1.78,4.3,1.69,0.85,3.22,17.53,4.44,5.2,13.63,0.2,0.64,1.1,3.03,1.26,0.23,5.32,0.12,3.31,2.48,0.29,4.41,2.86,0.56,0.27,0.97,0.35,45.39,54.61,37.97,15.27,12.48,2.52,29.71,2.06,11.63,83.09,6.64,39.49,25.57,0.27,0.34,18.8,30.05,51.15
KGZ,,2.87,14.9,8.62,,6.28,2.87,2.68,11.36,1.41,9.29,3.43,5.72,0.0,0.13,1.55,3.23,1.75,1.88,2.29,12.72,4.58,2.89,20.39,0.47,0.87,1.08,1.55,2.22,1.01,7.0,0.13,4.51,2.83,0.2,0.81,2.56,0.54,2.09,0.61,0.27,49.05,50.95,31.64,17.17,18.26,4.19,25.96,2.77,10.02,85.25,4.48,34.33,22.36,0.04,0.35,22.76,44.71,32.53
KHM,,1.17,12.61,7.0,,6.83,1.17,2.79,12.4,0.56,6.43,4.3,6.95,0.04,0.3,2.3,7.78,2.43,1.35,3.48,10.38,4.17,3.26,17.81,0.39,0.52,0.56,2.56,1.17,0.39,6.39,0.04,2.95,3.26,0.26,1.13,4.52,1.09,1.69,1.3,0.22,47.71,52.29,32.39,18.31,15.78,3.05,27.99,2.48,11.2,85.45,4.75,36.08,21.36,0.06,0.21,19.67,34.69,45.64
KOR,0.38,1.16,16.76,7.0,0.36,8.15,0.77,2.64,13.45,1.18,8.38,8.6,2.84,0.04,1.66,2.54,3.11,1.01,1.83,3.12,16.76,2.06,3.0,18.03,0.24,0.85,0.77,1.76,1.03,0.43,5.74,0.19,3.34,3.74,0.22,1.83,2.93,0.31,1.49,0.78,0.21,56.24,43.76,29.63,13.16,17.49,2.2,33.69,3.83,13.02,84.18,4.76,41.79,21.67,3.24,3.78,14.9,37.86,47.24
KWT,0.44,1.31,11.18,10.19,,8.51,0.875,2.73,11.79,0.61,11.63,4.6,5.59,0.06,0.15,1.76,2.66,0.85,1.58,3.89,12.09,4.19,4.04,18.1,0.73,0.64,1.43,2.31,2.23,0.44,6.53,0.2,4.19,2.55,0.79,1.14,2.02,0.38,1.2,1.11,0.29,51.14,48.86,31.08,16.15,17.32,3.33,28.76,3.36,10.54,83.54,5.08,37.98,21.29,0.08,0.92,15.11,44.83,40.06
LBN,,1.14,13.34,7.66,,7.17,1.14,2.77,12.79,0.97,8.38,4.78,5.9,0.0,0.15,2.12,4.31,1.27,1.45,3.01,14.04,4.6,3.48,15.45,0.38,0.47,1.06,2.71,2.98,0.59,5.96,0.09,3.63,3.98,0.56,1.47,3.54,0.68,0.74,0.97,0.29,54.48,45.52,28.1,16.36,18.1,2.34,31.5,3.61,11.72,83.25,5.34,40.8,23.21,0.08,0.96,25.52,30.59,43.89
LKA,0.3,1.38,13.44,6.09,0.24,8.02,0.84,2.83,12.9,1.28,5.66,3.08,6.6,0.03,0.5,3.79,5.38,1.85,1.01,2.74,15.94,5.63,3.03,14.99,0.28,0.75,0.75,2.78,1.68,0.52,6.21,0.14,3.36,3.52,0.16,1.41,3.71,0.58,0.79,1.22,0.61,47.81,52.19,36.47,14.5,16.05,2.36,27.76,2.87,11.74,84.26,5.15,34.65,17.54,0.19,0.56,34.98,26.04,38.98
LTU,0.43,1.2,12.27,10.81,,7.24,0.815,2.7,12.26,1.99,14.12,5.03,3.38,0.05,0.46,1.94,3.28,2.53,1.07,2.94,10.67,1.68,4.01,19.64,0.39,0.68,1.02,2.24,2.11,0.53,7.15,0.1,3.67,2.04,0.51,0.85,3.23,0.29,1.36,0.83,0.19,52.01,47.99,28.95,17.62,19.89,2.95,27.58,3.0,11.34,90.47,3.8,38.71,22.51,0.1,2.28,17.48,43.8,38.72
LUX,,1.12,13.24,10.54,,8.34,1.12,2.67,12.74,1.48,13.11,5.47,3.06,0.05,0.28,1.62,3.01,1.62,0.69,3.38,14.54,2.45,6.11,18.62,0.14,0.46,0.65,1.57,1.76,0.42,6.3,0.05,4.35,1.71,0.83,1.71,2.18,0.19,1.48,0.65,0.05,53.21,46.79,30.4,15.3,17.81,2.32,31.1,3.07,11.78,88.69,4.18,40.31,23.58,0.05,4.85,12.18,45.0,42.82
LVA,0.67,1.19,13.25,9.83,,7.03,0.9299999999999999,2.68,12.3,1.8,12.03,6.62,2.89,0.0,0.34,2.14,3.72,1.92,1.17,2.93,12.82,2.11,3.87,18.91,0.34,0.94,1.13,2.26,2.14,0.41,5.98,0.26,3.76,2.44,0.71,0.56,3.27,0.34,1.47,0.53,0.19,52.3,47.7,28.33,18.11,18.71,2.65,28.48,3.71,11.4,89.51,4.07,42.73,25.42,0.07,2.37,18.58,43.25,38.17
MAR,0.36,1.46,13.15,7.35,0.23,7.64,0.9099999999999999,2.77,12.7,1.97,7.37,4.26,5.97,0.02,0.42,2.92,3.78,1.65,0.96,2.63,15.78,4.58,3.03,15.6,0.32,0.54,1.01,2.37,2.03,0.56,5.73,0.21,4.02,3.54,0.36,1.36,4.18,0.41,1.2,0.89,0.34,52.29,47.71,30.78,15.71,16.89,2.56,31.52,2.54,11.45,81.42,5.57,39.67,19.76,0.54,0.9,34.89,30.6,34.51
MDA,,1.05,14.61,9.31,,7.49,1.05,2.7,12.16,2.3,9.4,4.98,4.98,0.0,0.52,2.07,4.79,1.36,1.41,1.64,14.33,3.1,2.87,17.2,0.47,0.66,1.17,3.15,2.21,0.47,6.11,0.14,3.1,2.91,0.7,0.75,3.48,0.47,1.83,0.8,0.61,49.23,50.77,32.53,17.09,15.11,2.26,30.51,2.5,11.03,87.17,4.46,34.8,21.1,0.05,1.45,25.14,38.16,36.7
MDG,,1.65,14.97,6.36,,9.49,1.65,2.79,12.78,1.36,5.69,3.08,6.81,0.0,0.59,2.25,6.81,2.61,0.59,3.5,15.7,4.21,4.38,12.2,0.47,0.36,1.18,3.73,1.13,0.36,6.69,0.12,3.26,2.61,0.3,2.55,4.5,0.3,1.3,1.18,0.18,47.73,52.27,33.49,17.7,14.37,2.08,29.81,2.55,11.64,82.82,5.62,37.32,19.96,0.04,0.1,25.59,28.91,45.5
MEX,0.46,1.24,13.18,8.67,0.35,8.35,0.85,2.81,12.49,0.73,8.86,4.71,5.12,0.04,0.35,3.13,3.57,1.5,1.85,4.43,16.88,2.69,3.48,13.81,0.34,0.64,1.09,2.86,1.81,0.5,6.32,0.2,4.28,3.3,0.61,1.1,3.25,0.61,0.6,0.98,0.34,49.64,50.36,31.65,17.55,13.94,2.31,32.11,2.44,11.44,85.04,5.07,40.17,22.46,1.32,0.63,21.08,33.95,44.97
MKD,,,12.98,9.16,,7.02,,2.72,12.32,1.16,9.93,3.31,6.17,0.09,0.98,2.68,5.55,2.5,1.43,2.42,11.63,2.33,3.76,17.26,0.72,0.89,0.98,2.33,2.5,0.45,5.37,0.09,4.11,2.24,0.63,1.07,4.03,0.63,1.61,0.54,0.63,52.87,47.13,26.73,19.08,18.36,2.79,29.97,3.06,11.27,87.48,4.62,43.17,22.72,0.03,0.98,17.89,40.25,41.86
MLT,,,15.19,7.7,,8.58,,2.74,12.76,2.06,10.92,4.6,4.46,0.07,0.55,1.85,3.85,1.92,1.17,3.43,15.11,2.34,6.52,13.8,0.21,0.27,1.03,3.78,1.79,0.55,7.14,0.21,3.78,2.34,0.69,1.03,2.47,0.41,0.89,0.55,0.21,50.11,49.89,30.88,17.81,15.68,2.41,30.19,3.03,11.94,87.51,4.66,44.08,23.75,0.04,4.0,17.64,34.32,48.04
MNG,,2.05,13.12,7.74,,9.52,2.05,2.78,11.88,1.24,7.55,3.71,3.71,0.0,0.24,3.71,2.16,1.27,1.13,3.54,12.08,3.74,1.85,20.19,0.76,0.45,1.41,1.44,5.97,0.38,7.62,0.24,2.2,5.18,0.31,0.38,2.61,0.45,3.4,0.89,0.21,42.56,57.44,42.95,12.21,13.76,3.97,25.22,1.9,10.38,86.37,3.71,24.1,17.98,0.07,1.37,34.11,33.05,32.84
MOZ,,1.74,19.86,5.48,,9.18,1.74,2.88,12.44,2.57,4.65,3.36,5.5,0.07,0.29,1.93,2.5,0.5,0.86,2.72,24.52,5.08,3.15,13.87,0.57,0.57,1.5,1.43,3.5,0.14,7.15,0.14,2.72,4.15,0.07,1.43,2.36,0.29,1.22,0.93,0.29,47.87,52.13,40.62,10.17,12.82,2.58,31.95,1.86,10.93,83.2,5.27,31.32,20.23,0.03,0.08,43.32,24.8,31.88
MUS,,1.2,13.54,7.47,,10.34,1.2,2.8,12.62,0.47,10.06,4.02,5.7,0.0,0.4,2.21,3.62,1.07,1.88,4.02,17.71,4.09,6.37,12.41,0.34,0.34,0.94,2.35,2.01,0.4,6.57,0.07,3.35,2.75,0.34,1.54,2.88,0.4,0.6,0.6,0.47,49.38,50.62,34.77,14.42,12.4,2.83,33.56,2.02,11.68,84.64,5.68,40.27,23.68,0.04,1.74,17.84,32.8,49.36
MYS,0.37,1.09,14.54,8.05,0.32,8.13,0.73,2.78,12.7,1.55,8.63,5.05,4.65,0.04,0.42,2.93,3.9,1.39,1.73,3.73,16.43,2.57,4.27,14.8,0.23,0.6,0.89,3.18,1.55,0.41,6.12,0.14,4.13,3.16,0.32,1.14,3.25,0.45,0.92,1.15,0.26,52.8,47.2,30.77,15.15,16.0,2.71,32.1,3.27,11.85,86.07,5.1,41.25,22.83,0.51,0.87,19.82,33.9,46.28
NAM,,,13.55,7.24,,10.39,,2.82,12.67,1.72,5.95,3.04,4.23,0.0,0.13,1.85,2.65,0.53,1.59,3.84,20.11,5.42,4.76,13.62,0.53,0.66,1.46,1.46,5.56,0.13,6.75,0.0,4.5,2.51,0.13,2.38,3.17,0.66,0.4,0.26,0.0,47.09,52.91,40.13,11.66,15.36,2.12,28.21,2.52,11.93,82.14,5.77,33.7,23.97,0.02,0.44,36.38,27.78,35.85
NGA,0.32,1.42,21.76,7.79,0.25,6.68,0.87,2.81,11.87,2.01,6.57,3.0,6.73,0.02,0.87,1.01,3.29,0.91,3.1,2.04,15.25,4.41,7.26,12.53,0.19,0.75,1.62,6.76,1.21,0.45,5.19,0.17,4.3,2.03,0.17,3.42,2.24,0.26,0.26,1.06,0.91,48.3,51.7,36.19,14.21,12.4,2.51,32.6,2.09,10.75,83.76,7.01,46.99,28.31,0.73,0.24,17.63,34.73,47.64
NLD,0.69,1.13,13.74,11.09,0.37,7.55,0.9099999999999999,2.69,12.41,1.87,12.68,5.59,3.44,0.03,0.5,2.03,2.67,1.77,0.95,2.5,13.98,1.42,5.69,18.64,0.28,0.94,0.73,2.52,1.27,0.38,6.52,0.19,4.04,1.76,1.0,1.51,2.9,0.3,1.03,0.69,0.18,54.73,45.27,27.79,16.42,18.3,2.32,31.75,3.41,11.61,90.32,3.97,40.01,23.77,1.07,3.9,14.64,44.54,40.82
NOR,0.61,0.93,13.1,10.12,0.35,6.59,0.77,2.63,12.63,2.77,11.46,6.17,2.97,0.04,0.32,2.03,2.38,1.71,1.23,2.35,13.06,3.47,3.95,22.23,0.37,0.76,0.6,1.32,2.47,0.41,5.71,0.12,3.34,1.98,0.87,1.34,2.53,0.26,1.03,0.58,0.14,58.74,41.26,24.99,15.27,23.65,2.42,28.81,4.86,11.96,91.31,3.86,44.3,24.24,0.35,4.04,26.38,42.45,31.17
NPL,0.27,1.52,12.7,6.78,0.25,6.74,0.895,2.78,12.27,0.97,7.82,2.88,5.16,0.03,0.62,3.25,5.62,1.63,1.04,2.08,14.19,6.02,1.81,18.11,0.34,0.8,1.0,2.54,2.51,0.45,5.77,0.08,3.93,2.54,0.26,1.81,3.57,0.57,0.85,1.09,0.66,48.73,51.27,36.39,13.58,17.42,2.54,27.78,2.29,11.02,86.59,4.8,32.09,19.69,0.19,0.41,31.95,33.98,34.07
NZL,0.44,1.05,14.86,9.09,0.29,8.0,0.745,2.69,12.58,1.33,10.99,5.96,3.1,0.03,0.44,2.38,2.81,1.54,1.05,2.97,17.05,2.42,5.94,16.26,0.28,0.66,0.75,2.43,2.05,0.34,6.21,0.15,3.87,1.77,0.97,1.92,2.77,0.25,0.37,0.81,0.13,53.67,46.33,28.98,16.21,16.29,2.48,32.22,3.83,11.95,91.19,4.37,43.02,26.66,0.39,4.84,19.57,37.27,43.16
OMN,,1.65,12.34,7.27,,9.7,1.65,2.8,12.52,1.22,7.93,4.6,6.45,0.0,0.11,2.08,3.0,1.19,1.04,3.86,15.8,4.78,4.34,14.68,0.41,0.56,1.33,1.67,2.41,0.52,7.16,0.22,3.15,3.86,0.3,1.71,2.56,0.44,1.08,1.22,0.33,49.92,50.08,34.24,14.4,13.77,2.87,32.56,2.16,11.31,81.27,5.41,35.57,19.55,0.07,0.73,25.03,31.81,43.16
PAK,0.3,1.14,15.21,7.78,0.22,7.05,0.72,2.77,11.89,1.14,7.01,2.87,6.64,0.0,1.14,2.19,4.03,1.15,1.58,2.41,12.72,6.33,3.68,14.52,0.35,0.62,1.66,4.89,1.71,0.81,6.14,0.19,4.04,2.6,0.27,2.31,3.61,0.45,0.69,1.16,1.1,49.31,50.69,35.65,13.79,16.23,2.46,29.57,2.29,10.47,83.82,5.11,34.96,21.38,1.08,0.31,29.74,29.94,40.32
PAN,,1.34,12.5,8.0,0.41,9.39,1.34,2.81,12.38,0.39,8.44,5.47,4.98,0.0,0.39,3.0,2.28,1.62,1.35,4.98,17.96,3.91,3.85,12.16,0.33,0.63,1.35,2.92,1.82,0.44,6.93,0.17,4.4,3.55,0.47,0.94,2.48,0.63,0.94,1.05,0.22,49.15,50.85,34.23,15.11,12.02,2.98,33.9,1.77,11.21,85.64,4.96,36.15,23.09,0.09,1.28,22.08,33.05,44.87
PER,0.24,1.43,13.82,5.93,0.31,9.55,0.835,2.83,13.07,1.99,5.37,4.47,4.07,0.03,0.2,4.65,2.95,0.91,1.39,4.49,21.19,6.12,2.1,13.42,0.39,0.52,0.97,1.73,2.58,0.45,6.43,0.13,2.87,4.29,0.28,0.84,2.89,0.72,0.49,0.91,0.19,52.42,47.58,34.65,12.04,13.34,1.87,35.52,2.58,12.0,82.79,4.99,34.65,19.63,0.57,1.05,41.87,21.96,36.17
PHL,0.45,1.28,18.99,7.23,0.29,7.75,0.865,2.75,12.18,1.68,6.94,3.9,5.94,0.03,0.71,2.28,5.77,1.13,2.86,3.08,15.29,3.29,6.34,12.89,0.5,0.79,0.98,4.37,1.26,0.5,6.05,0.18,2.89,2.42,0.32,1.69,3.04,0.59,0.5,1.29,0.5,50.83,49.17,32.97,15.03,12.22,2.39,34.49,2.9,11.26,87.08,4.9,37.85,23.57,0.8,0.44,23.09,31.9,45.01
POL,0.49,1.61,12.43,10.71,0.32,6.75,1.05,2.7,12.5,1.15,12.08,5.43,3.6,0.04,0.53,1.81,3.7,2.35,1.38,2.4,12.07,2.0,3.67,19.41,0.45,0.66,0.82,3.15,1.26,0.61,7.26,0.21,4.3,1.63,0.75,0.97,3.66,0.38,1.36,0.72,0.21,52.15,47.85,28.36,17.84,18.51,3.44,28.25,3.6,11.57,90.12,4.1,38.58,21.11,0.75,1.33,12.31,45.92,41.77
PRI,0.45,1.58,11.37,10.49,0.44,8.5,1.0150000000000001,2.75,12.24,0.7,12.19,5.49,3.88,0.0,0.3,1.49,1.82,1.18,1.79,3.49,17.4,2.67,4.3,17.25,0.39,0.45,1.39,2.82,1.88,0.36,6.52,0.12,4.79,2.06,0.85,0.73,1.7,0.3,0.55,0.91,0.24,50.08,49.92,32.79,15.68,15.44,2.92,29.96,3.22,11.33,89.21,4.42,37.25,24.14,0.08,1.68,16.1,42.9,40.99
PRT,0.55,0.9,13.69,9.04,0.3,8.04,0.7250000000000001,2.76,12.75,1.17,10.49,5.37,4.12,0.03,0.44,2.19,3.52,1.88,1.14,3.35,15.41,2.25,5.2,15.33,0.33,0.54,1.01,3.18,1.44,0.41,6.36,0.15,4.15,2.66,0.72,1.14,3.26,0.43,1.15,0.94,0.24,52.51,47.49,29.07,17.44,15.39,2.08,33.14,2.88,11.85,87.87,4.65,41.11,22.98,0.53,3.32,17.91,38.29,43.8
PRY,,1.24,11.52,8.34,,9.5,1.24,2.8,12.38,0.66,8.59,4.37,5.39,0.0,0.31,2.11,3.59,1.84,1.64,5.27,14.37,3.36,2.42,15.38,0.27,0.74,1.17,3.59,2.54,0.51,7.38,0.43,4.1,2.77,0.39,0.82,2.97,0.82,0.82,1.09,0.27,47.71,52.29,32.69,17.91,14.66,3.21,29.2,2.31,11.28,82.58,5.07,38.51,21.41,0.06,0.59,17.3,33.91,48.79
PSE,,1.56,11.73,6.88,,8.05,1.56,2.74,12.9,1.57,5.98,3.38,6.77,0.0,0.16,2.52,6.61,2.12,0.79,3.07,13.77,5.43,2.6,17.78,0.39,0.24,1.73,2.36,1.97,1.02,5.11,0.24,3.15,2.05,0.16,0.94,4.72,1.18,1.26,0.55,0.39,48.13,51.87,30.99,19.4,16.4,2.84,27.21,3.15,11.77,79.94,5.36,39.44,17.86,0.03,0.43,36.66,26.59,36.74
QAT,0.44,1.26,14.1,9.18,0.63,9.26,0.85,2.77,12.37,0.77,10.22,4.07,5.31,0.03,0.13,2.14,1.93,0.95,1.11,4.41,15.05,3.27,5.44,15.21,0.34,0.42,1.69,2.01,1.45,0.37,7.0,0.26,4.3,3.22,0.61,3.06,2.38,0.4,1.14,0.95,0.4,51.92,48.08,33.59,13.24,14.91,2.6,32.82,2.84,11.23,83.95,5.51,36.5,23.16,0.09,1.66,11.65,37.51,50.85
ROU,0.4,1.19,12.55,10.26,0.26,6.92,0.7949999999999999,2.72,12.37,2.07,12.94,5.17,3.9,0.04,0.42,1.67,3.89,1.57,1.39,2.59,13.37,2.44,3.12,18.95,0.37,0.61,0.9,2.97,1.49,0.45,5.65,0.19,3.92,2.08,0.93,0.85,3.55,0.42,1.12,0.73,0.24,52.12,47.88,28.37,18.24,18.06,2.65,29.54,3.14,11.3,87.18,4.49,41.52,22.44,0.4,1.37,18.05,42.99,38.96
RWA,,1.54,14.16,6.4,,9.48,1.54,2.83,12.61,1.61,4.02,2.91,6.74,0.0,0.43,1.98,3.9,1.92,0.93,2.84,19.54,5.75,2.78,16.82,0.25,0.37,1.18,1.92,2.91,0.19,5.63,0.19,3.65,3.77,0.25,2.6,2.72,0.31,0.74,1.05,0.12,44.32,55.68,39.69,14.22,15.09,3.17,26.34,1.49,11.51,81.32,5.87,36.55,22.39,0.04,0.2,34.76,23.62,41.62
SAU,0.47,1.47,11.32,8.5,0.39,9.96,0.97,2.77,12.48,0.88,9.15,4.61,5.8,0.02,0.16,2.14,2.89,1.2,1.01,5.07,14.56,2.93,4.02,16.64,0.3,0.56,1.16,1.63,1.44,0.55,6.17,0.16,3.88,4.77,0.5,1.97,2.81,0.39,1.28,1.06,0.28,51.39,48.61,32.13,15.08,15.33,2.87,31.8,2.79,11.21,80.71,5.51,35.34,19.81,0.57,0.93,16.59,36.16,47.26
SEN,0.54,1.4,14.52,5.84,,9.1,0.97,2.84,12.65,1.29,4.77,4.02,6.43,0.02,0.14,2.29,2.9,2.59,1.26,2.81,20.2,5.52,3.97,15.59,0.16,0.49,1.59,1.85,2.64,0.28,5.19,0.16,2.34,3.93,0.23,2.13,2.73,0.35,0.91,0.96,0.26,48.18,51.82,35.91,14.64,15.88,2.44,29.42,1.71,11.32,80.68,5.92,38.2,21.07,0.11,0.41,34.91,28.1,36.99
SGP,0.64,1.03,13.04,9.68,0.44,7.54,0.835,2.75,13.05,0.8,12.15,6.61,3.32,0.02,0.44,2.69,2.5,1.44,1.33,3.59,14.59,2.09,5.36,16.61,0.3,0.57,0.66,2.03,1.18,0.45,6.51,0.13,4.74,3.14,0.5,1.69,2.49,0.32,0.87,0.69,0.18,53.7,46.3,31.08,14.08,18.89,2.47,30.53,2.95,12.43,90.03,4.93,41.8,24.6,0.62,5.81,10.97,42.28,46.75
SLV,,1.42,13.43,7.8,,7.06,1.42,2.82,12.44,0.37,7.57,4.22,5.75,0.08,0.25,3.84,3.68,1.94,1.78,5.42,17.24,3.68,2.94,13.6,0.5,0.37,0.91,1.82,2.27,0.45,5.46,0.08,3.93,3.35,0.54,1.07,3.39,1.28,0.79,1.16,0.29,47.62,52.38,32.54,18.64,12.7,2.28,31.34,2.49,11.28,82.15,5.18,39.07,19.26,0.06,0.59,27.67,28.99,43.34
SRB,0.46,1.18,13.19,9.64,0.32,6.12,0.82,2.64,12.24,0.63,12.14,4.96,3.94,0.02,0.94,2.06,4.44,1.89,1.44,2.67,10.72,1.73,3.87,20.01,0.31,0.75,1.0,3.5,1.6,0.71,5.81,0.08,3.64,1.31,0.87,1.48,4.14,0.73,1.5,0.81,0.31,54.41,45.59,25.43,18.92,20.85,2.72,28.64,3.44,11.3,88.67,4.1,43.8,23.03,0.13,1.31,11.66,42.32,46.02
SVK,0.51,1.18,11.27,10.27,,6.77,0.845,2.69,12.33,1.52,11.1,5.45,4.48,0.06,0.66,1.95,3.41,2.04,1.32,2.69,11.72,3.08,3.04,21.39,0.47,0.82,0.62,2.36,1.71,0.41,6.44,0.12,3.56,1.54,0.93,0.7,3.72,0.37,1.23,0.88,0.19,51.7,48.3,28.79,18.23,20.12,2.63,26.99,3.24,11.28,90.05,3.99,40.31,21.48,0.12,1.43,18.05,44.68,37.27
SVN,,1.01,11.74,10.23,,7.2,1.01,2.71,12.61,1.49,10.46,4.85,4.12,0.04,0.44,2.48,4.41,2.37,1.2,2.92,12.1,2.48,4.45,18.92,0.33,0.73,1.24,2.48,2.08,0.44,5.94,0.26,4.01,1.86,0.73,0.69,3.54,0.69,1.42,0.66,0.18,51.31,48.69,28.71,18.96,18.34,2.09,28.9,3.01,11.71,89.14,4.05,40.3,21.87,0.07,2.13,18.19,40.27,41.55
SWE,0.5,1.22,13.58,10.41,0.36,6.86,0.86,2.65,12.46,2.28,12.12,6.4,3.21,0.06,0.44,1.75,3.06,1.87,1.32,2.18,12.72,1.63,4.43,20.32,0.4,0.79,0.54,1.68,1.84,0.33,6.24,0.17,3.92,2.12,0.87,1.79,3.23,0.35,1.12,0.67,0.14,55.7,44.3,25.69,17.45,20.34,2.62,29.98,3.91,11.72,90.88,3.96,43.77,23.39,0.46,2.98,16.93,44.96,38.11
TGO,,1.55,15.8,6.39,,7.17,1.55,2.84,12.34,1.38,6.14,1.9,6.92,0.0,0.69,1.73,4.41,1.73,1.38,2.16,18.51,3.98,2.34,16.52,0.09,0.87,1.82,3.2,2.51,0.95,6.4,0.35,3.63,2.25,0.0,2.08,3.29,0.61,1.21,0.35,0.61,47.72,52.28,36.45,14.11,14.72,3.29,30.04,1.39,10.89,79.22,6.75,39.31,22.4,0.03,0.22,26.3,34.17,39.53
THA,0.5,1.21,12.24,8.16,0.37,8.58,0.855,2.81,12.74,0.84,8.61,6.64,5.54,0.03,0.46,3.54,4.78,1.74,1.27,5.2,12.59,2.36,2.94,14.81,0.47,0.68,0.94,2.6,1.15,0.64,6.97,0.17,4.0,2.86,0.41,0.85,3.43,0.48,1.75,0.95,0.29,47.46,52.54,34.81,16.25,15.34,2.82,28.19,2.59,11.79,86.02,4.88,34.76,19.74,0.86,0.73,9.84,37.04,53.12
